序号,收录日期,期号,领域,主题分类,论文标题,作者/机构,来源/发布日期,推荐标记,推荐理由,核心结论摘要,创新点,局限性,原文链接
1,2026-07-26,第1期-年度回顾,AI/大模型,LLM推理,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,DeepSeek,arXiv/2025-01,⭐ Top 3 必读,RL训练推理能力的里程碑突破,证明纯RL(GRPO)无需SFT即可让LLM自发产生推理行为(自我验证/回溯),首次证明RL可训练推理模型且开源权重达到o1水平,训练成本仍较高且依赖大量验证任务,https://arxiv.org/abs/2501.12948
2,2026-07-26,第1期-年度回顾,AI/大模型,高效模型,DeepSeek-V3 Technical Report,DeepSeek,arXiv/2024-12,普通收录,MoE架构效率标杆,671B MoE仅用2.79M H800 GPU小时达到前沿性能,MLA注意力+无辅助损失负载均衡的MoE,模型规模大部署门槛高,https://arxiv.org/abs/2412.19437
3,2026-07-26,第1期-年度回顾,AI/大模型,高效模型,Phi-4 Technical Report,Microsoft Research,arXiv/2024-12,普通收录,小模型数据质量胜过规模,14B参数通过高质量合成数据超越4倍大模型,系统性合成数据生成方法论,合成数据生成依赖强大教师模型,https://arxiv.org/abs/2412.08905
4,2026-07-26,第1期-年度回顾,AI/大模型,开源模型,Qwen2.5 Technical Report,Alibaba DAMO Academy,arXiv/2025-01,普通收录,最强开源模型家族,0.5B-72B全尺寸覆盖+代码/数学专用变体,混合MoE+多语言/长上下文优化,72B部署仍需较多资源,https://arxiv.org/abs/2501.15383
5,2026-07-26,第1期-年度回顾,AI/大模型,LLM推理,Gemini 2.5 Technical Report,Google DeepMind,arXiv/2025-07,⭐ Top 3 必读,多模态推理+思考模式标杆,原生多模态+Thinking Mode+长上下文推理的统一,多模态理解与推理在单一模型中统一,技术报告未完全公开训练细节,https://arxiv.org/abs/2507.06261
6,2026-07-26,第1期-年度回顾,AI/大模型,LLM架构,Large Language Diffusion Models,Meta,arXiv/2025-02,普通收录,扩散模型用于语言建模的新范式,在句子语义表示空间建模而非逐token生成,概念级语言建模替代自回归,推理速度慢于自回归模型,https://arxiv.org/abs/2502.09992
7,2026-07-26,第1期-年度回顾,AI/大模型,世界模型,VideoWorld: Exploring Knowledge Learning from Unlabeled Videos,ByteDance,arXiv/2025-01,普通收录,视频驱动的世界模型,从无标注视频学习物理理解和预测,连接视频理解与具身规划,主要在受限环境验证,https://arxiv.org/abs/2501.09781
8,2026-07-26,第1期-年度回顾,AI/大模型,AI Agent,The AI Scientist-v2,Sakana AI,arXiv/2025-02,⭐ Top 3 必读,自主科学研究系统里程碑,端到端自动化假设生成/实验/报告撰写,完整科研自动化闭环,生成的论文质量仍低于人类研究者,https://arxiv.org/abs/2502.18864
9,2026-07-26,第1期-年度回顾,AI/大模型,代码生成,SWE-Lancer: Can Frontier LLMs Earn $1 Million from Real Freelance Software Engineering?,OpenAI,arXiv/2025-02,普通收录,真实自由职业编程基准,用真实外包任务评估LLM编程能力,将AI性能直接挂钩经济价值,任务主要来自Upwork特定类型,https://arxiv.org/abs/2502.12115
10,2026-07-26,第1期-年度回顾,AI/大模型,开源模型,OLMo 2: The Best Fully Open Language Model to Date,Allen Institute for AI,arXiv/2025-01,普通收录,完全透明开源模型,训练数据/架构/方法全公开,完整可复现的开源LLM,性能低于前沿闭源模型,https://arxiv.org/abs/2501.00656
11,2026-07-26,第1期-年度回顾,AI/大模型,高效模型,Mixture-of-Recursions: Learning Dynamic Recursive Depths,Academic Collaboration,arXiv/2025-07,普通收录,动态递归深度提升效率,按任务复杂度动态分配推理深度,自适应推理深度节省计算,需要额外的路由机制训练,https://arxiv.org/abs/2507.10524
12,2026-07-26,第1期-年度回顾,AI/大模型,可解释性,A Survey on Sparse Autoencoders: Interpreting the Internal Representations of LLMs,多机构合作,arXiv/2025-03,普通收录,稀疏自编码器综述,系统梳理SAE在LLM可解释性中的应用,首次全面综述SAE方法论,综述性质无原创实验,https://arxiv.org/abs/2503.05613
13,2026-07-26,第1期-年度回顾,AI/大模型,LLM推理,Scaling LLM Test-Time Compute Optimally,Google DeepMind,arXiv/2025,⭐ Top 3 必读,测试时计算缩放—年度最重要发现,推理时增加计算可比训练更大模型更有效,改变AI能力经济学的核心发现,最优计算分配策略仍需研究,https://arxiv.org/abs/2408.03314
14,2026-07-26,第1期-年度回顾,AI/大模型,视频生成,How Far is Video Generation from World Model: A Survey,OpenAI/学术,arXiv/2024-11,普通收录,视频生成与世界模型关系综述,系统评估视频生成模型作为世界模拟器的能力,首次系统评估视频生成的世界模拟能力,评估指标可能不全面,https://arxiv.org/abs/2411.02385
15,2026-07-26,第1期-年度回顾,AI/大模型,AI Agent,Measuring AI Agent Autonomy in Practice,Anthropic,Anthropic Research/2026-02,普通收录,Agent自主性量化测量,分析百万级人机交互数据量化Agent自主性,首个大规模Agent自主性实证研究,仅基于Claude数据可能存在偏差,https://www.anthropic.com/research/measuring-agent-autonomy
16,2026-07-26,第1期-年度回顾,AI/大模型,AI Agent,The 2025 AI Agent Index: Documenting Technical and Safety Trends,MIT,MIT/2026-06,普通收录,AI Agent技术与安全趋势指数,系统记录2025年Agent技术发展和安全趋势,首个全面的AI Agent行业指数,主要基于公开信息汇总,https://aiagentindex.mit.edu/data/2025-AI-Agent-Index.pdf
17,2026-07-26,第1期-年度回顾,AI/大模型,代码生成,OSWorld-Human: Benchmarking the Efficiency of Computer-Use Agents,学术合作,arXiv/2025-06,普通收录,计算机使用Agent效率基准,首个评估Agent与人类操作效率差异的基准,首次对比Agent与人类在GUI操作效率,任务范围有限,https://arxiv.org/abs/2506.16042
18,2026-07-26,第1期-年度回顾,AI/大模型,多模态,Knowing the Self Understanding the World: UAV-DualCog,学术合作,arXiv/2026-07,普通收录,无人机双认知时空推理基准,UAV场景下MLLM自我状态+环境双认知评估,自动化点云生成数据管线,特定于UAV场景,https://arxivtldr.org/abs/2607.16193
19,2026-07-26,第1期-年度回顾,AI/大模型,AI安全,Refusal is Not Safety: Benchmarking Latent Safety Risks of LLM-Driven Content Humorization,学术合作,arXiv/2026-07,普通收录,LLM幽默化内容的安全风险,揭示LLM内容幽默化引入的隐性安全风险,首次系统揭示幽默化防御的安全漏洞,探索性研究范围有限,https://arxivtldr.org/abs/2607.15977
20,2026-07-26,第1期-年度回顾,AI/大模型,RAG,Salience Induction against Multi-Hop RAG Agents: Threat and Defense,学术合作,arXiv/2026-07,普通收录,RAG Agent的新型攻击与防御,提出Salience Induction攻击操纵RAG推理,六种Salience编辑算子+迭代攻击管线,防御方法可能被绕过,https://arxivtldr.org/abs/2607.17535
